Trait	n
Alkylphosphatidylcholine (O-32:2) levels	2
Alkylphosphatidylcholine (O-34:1) levels	2
Alkylphosphatidylcholine (O-34:2) levels	2
Alkylphosphatidylcholine (O-34:4) levels	2
Alkylphosphatidylethanolamine (O-16:0/18:2) levels	2
Alkylphosphatidylethanolamine (O-18:1/18:2) levels	2
Alkylphosphatidylethanolamine (O-34:1) levels	2
Alzheimer's disease or peptic ulcer disease	2
Ambidextrousness	2
Androgen levels	2
Aniseed liking	2
Anorexia nervosa	2
Aortic valve stenosis	2
Apolipoprotein Levels	2
Arachidonoylcholine levels	2
Ascending aorta distensibility (MTAG)	2
Asparagine levels	2
Asthma (time to event)	2
Attention deficit hyperactivity disorder or autism spectrum disorder (pleiotropy)	2
Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)	2
Autoimmune traits	2
Basal cell carcinoma	2
Behcet's disease	2
Beta-citrylglutamate levels	2
Biological age (PhenoAge)	2
Birth length	2
BK polyomavirus VP1 antibody levels	2
Blood osmolality (transformed sodium)	2
Blood pressure (smoking interaction)	2
Blood sugar levels	2
Brain shape (segment 285)	2
Brainstem volume	2
Branched-chain amino acid levels (Isoleucine)	2
Branched-chain amino acid levels (Leucine)	2
Branched-chain amino acid levels (Valine)	2
Bread type: White vs wholemeal/wholegrain and brown (UKB data field 1448)	2
Breast cancer (estrogen-receptor positive)	2
Breast milk fatty acid composition (infant genotype effect)	2
Breast milk fatty acid composition (maternal genotype effect)	2
C-X-C motif chemokine 1 levels	2
Caffeine metabolism (plasma 1,7-dimethylxanthine (paraxanthine) level)	2
Caffeine metabolism (plasma 3,7-dimethylxanthine (theobromine) level)	2
Capers liking	2
Cardiometabolic and hematological traits	2
CD19 on B cell	2
CD19 on switched memory B cell	2
Ceramide (d16:1/24:1, d18:1/22:1) levels	2
Ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0) levels	2
Ceramide (d18:1/24:0) levels	2
Ceramide (d18:1/24:1) levels	2
Cereal consumption (bowls per week) (UKB data field 1458)	2
Champagne or white wine consumption (glasses per month) (UKB data field 1578, 4418)	2
Childhood absence epilepsy	2
Childhood aggressive behavior	2
Chitinase-3-like protein 1 levels	2
Cholesteryl ester (20:1) levels	2
Cholesteryl ester (22:6) levels	2
Cholesteryl ester (24:5) levels	2
Cholesteryl ester 22:4 levels	2
Cholesteryl ester_15:0_[M+NH4]1+ levels	2
Cholesteryl esters to total lipids ratio in very large HDL	2
Chronic obstructive pulmonary disease in ever smokers	2
Chronic obstructive pulmonary disease in never smokers	2
Chronic obstructive pulmonary disease x ever smoker interaction (2df)	2
Chronic obstructive pulmonary disease x ever smoker interaction (main effect)	2
Circulating leptin levels or fasting insulin levels	2
Circulating leptin levels or HOMA-IR	2
Circulating leptin levels or type 2 diabetes	2
Cis-5,8,11,14,17-eicosapentaenoic acid (C20:5n3) levels in coronary artery disease	2
Clozapine concentration in schizophrenia	2
Coagulation factor IX levels	2
Coagulation factor IXab levels	2
Cognitive performance (attention) (longitudinal)	2
Cold sores	2
Colon polyp	2
Colorectal or endometrial cancer	2
Corneal resistance factor	2
Coronary artery disease and total cholesterol levels (multivariate analysis)	2
Coronary artery disease or ischemic stroke	2
Coronary artery disease or large artery stroke	2
Cotinine levels in current smokers	2
COVID-19 or hypertension (pleiotropy)	2
COVID-19 or obesity (pleiotropy)	2
Crohn's disease or Leprosy (opposite effect)	2
Cryptic phenotype that captures Alport syndrome severity	2
Cutaneous malignant melanoma	2
Cutaneous mastocytosis	2
Cutaneous melanoma or hair colour	2
Cytokine levels	2
Cytokine network levels (multivariate analysis)	2
Dehydrocholesteryl ester (22:6) levels	2
Dehydroepiandrosterone sulphate levels	2
Delta-5 desaturase activity response to n3-polyunsaturated fat supplement	2
Developmental dysplasia of the hip	2
DG(38:5) levels	2
Diacylglycerol (16:0_22:5) levels	2
Diacylglycerol (16:0_22:6) levels	2
Diacylglycerol (18:1_18:3) levels	2
Diacylglycerol_34:1_[M+H-H2O]1+ levels	2
Dickkopf-related protein 1 levels	2
Diffusing capacity of carbon monoxide	2
DNA methylation variation (age effect)	2
Docosapentaenoate (n3 DPA; 22:5n3) levels	2
Dried fruit liking	2
Drug experimentation measurement	2
Eicosapentaenoate (EPA; 20:5n3) levels	2
Eicosapentaenoylcholine levels	2
Electrocardiographic traits (multivariate)	2
End-stage coagulation	2
Endometriosis	2
Eotaxin levels	2
Epilepsy and lamotrigine-induced maculopapular eruptions	2
Episodic memory (pairs-matching)	2
Erectile dysfunction	2
Eudaimonic well-being	2
Extraversion	2
F-lentils/beans liking (derived food-liking factor)	2
F-low caloric food liking (derived food-liking factor)	2
Factor VII levels	2
Fasting apolipoprotein A-I	2
Fasting blood insulin (BMI interaction)	2
Fasting cholesterol esters in large HDL	2
Fasting cholesterol esters in very large HDL	2
Fasting estimated degree of unsaturation	2
Fasting free cholesterol in large HDL	2
Fasting free cholesterol in very large HDL	2
Fasting glycoprotein acetyls (mainly a1-acid glycoprotein)	2
Fasting insulin adjusted for BMI	2
Fasting isoleucine	2
Fasting large HDL particle concentration	2
Fasting mean diameter of HDL particles	2
Fasting phospholipid levels in large HDL	2
Fasting phospholipid levels in very large HDL	2
Fasting total cholesterol in HDL2	2
Fasting total cholesterol in HDL3	2
Fasting total cholesterol in large HDL	2
Fasting total cholesterol in very large HDL	2
Fasting total lipids in large HDL	2
Fasting total lipids in very large HDL	2
Fasting triglycerides levels in medium HDL	2
Fasting very large HDL particle concentration	2
Fatty acid desaturase activity (adipose tissue)	2
Fatty acid desaturase activity (serum)	2
Folate pathway vitamin levels	2
Fuchs's corneal dystrophy	2
G_Porphyromonadaceae prevalence	2
Galanin peptide levels	2
Gestational insulin sensitivity	2
Glioblastoma	2
Glioma	2
Glomerular filtration rate in non diabetics (creatinine)	2
Glucokinase regulatory protein levels	2
Glucose homeostasis traits	2
Glycemic traits (multi-trait analysis)	2
Gout vs. Hyperuricemia	2
Grapefruit liking	2
Gut microbiota (bacterial taxa, rank normal transformation method)	2
Gut microbiota (beta diversity)	2
Gut microbiota (functional units)	2
Head circumference (infant)	2
Heart rate	2
Heart rate response to recovery post exercise (10 sec)	2
Heart rate response to recovery post exercise (20 sec)	2
Heat shock protein beta-1 levels	2
Hedonic well-being	2
Help-seeking from a GP (without major depressive disorder symptoms)	2
Hematological and biochemical traits	2
Hematology traits	2
High myopia	2
High-density lipoprotein 3 cholesterol levels	2
Hippocampal tail volume (corrected for total hippocampal volume)	2
Homeostasis model assessment of beta-cell function	2
Homeostasis model assessment of insulin resistance	2
Homocysteine levels	2
Hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH)) levels	2
Hyperthyroidism	2
IDP dMRI ProbtrackX L1 atr r	2
IDP dMRI TBSS ICVF Posterior limb of internal capsule L	2
IDP dMRI TBSS ICVF Retrolenticular part of internal capsule R	2
IDP dMRI TBSS L3 Superior fronto-occipital fasciculus R	2
IDP SWI T2star right putamen	2
IgA levels	2
Immunoglobulin superfamily containing leucine-rich repeat protein 2 levels	2
Indolin-2-one levels	2
Infant head circumference (MTAG)	2
Inflammatory biomarkers (multivariate analysis)	2
Inflammatory bowel disease (early onset)	2
Insulin-related traits (multivariate analysis)	2
Interferon gamma levels	2
Interleukin-10 levels	2
Interleukin-6 levels	2
Intracranial, abdominal aortic or thoracic aortic aneurysm (pleiotropy)	2
Intrahepatic cholestasis of pregnancy	2
Iron status biomarkers (transferrin levels)	2
Iron status biomarkers (transferrin saturation)	2
Ischemic stroke or factor XI levels (pleiotropy)	2
Ischemic stroke or von Willebrand factor levels (pleiotropy)	2
Lactosyl-N-behenoyl-sphingosine (d18:1/22:0) levels in elite athletes	2
Lactosyl-N-nervonoyl-sphingosine (d18:1/24:1) levels in elite athletes	2
Lacunar stroke	2
Lamb or mutton consumption (UKB data field 1379)	2
Large artery stroke	2
Laryngeal squamous cell carcinoma	2
LDL cholesterol levels in HIV infection	2
Left ventricular end-diastolic volume	2
Linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1] levels	2
Low-density lipoprotein receptor-related protein 1B levels	2
Lysoalkenylphosphatidylethanolamine (P-20:0) levels	2
Lysoalkylphosphatidylcholine (O-18:1) levels	2
Lysoalkylphosphatidylcholine (O-20:1) levels	2
Lysoalkylphosphatidylcholine (O-22:1) levels	2
Lysoalkylphosphatidylcholine (O-24:1) levels	2
Lysophosphatidylcholine (17:0) [sn1] levels	2
Lysophosphatidylcholine (18:0) [sn1] levels	2
Lysophosphatidylcholine (18:0) [sn2] levels	2
Lysophosphatidylcholine (18:2) [sn1] levels	2
Lysophosphatidylcholine (18:2) [sn2] levels	2
Lysophosphatidylcholine (18:3) [sn1] (a) levels/Lysophosphatidylcholine (18:3) [sn2] (b) levels	2
Lysophosphatidylcholine (22:0) [sn1] levels	2
Lysophosphatidylcholine (22:1) [sn1] levels	2
Lysophosphatidylcholine (22:5) [sn1] (n6) levels	2
Lysophosphatidylcholine (22:6) [sn1] levels	2
Lysophosphatidylcholine (22:6) [sn2] levels	2
lysoPhosphatidylcholine acyl C14:0 levels	2
lysoPhosphatidylcholine acyl C18:2 levels	2
lysoPhosphatidylcholine acyl C20:4 levels	2
lysoPhosphatidylcholine acyl C24:0 levels	2
Lysophosphatidylcholine levels	2
Lysophosphatidylcholine_18:2_[M+OAc]1-/Lysophosphatidylserine_22:1_[M-H]1- levels	2
Lysophosphatidylethanolamine (18:1) [sn1] levels	2
Lysophosphatidylethanolamine (18:1) [sn2] levels	2
Lysophosphatidylethanolamine_20:2_[M-H]1- levels	2
Lysophosphatidylinositol (18:0) [sn1] levels	2
Lysophosphatidylinositol (18:2) [sn1] levels	2
Lysophosphatidylinositol (18:2) [sn2] levels	2
Major depressive disorder (ICD-10 coded)	2
Mammographic density (dense area)	2
Mannonate levels	2
Mean arterial pressure x educational attainment (graduated college) interaction (2df)	2
Medication use (antiglaucoma preparations and miotics)	2
Medication use (antimigraine preparations)	2
Menopause (age at onset)	2
Metabolic syndrome (multivariate analysis)	2
Metabolically unhealthy in normal weight	2
Metabolite peak levels (QI15536)	2
Metabolite peak levels (QI15965)	2
Metabolite peak levels (QI261)	2
Metabolite peak levels (QI4680)	2
Metabolite peak levels (QI6523)	2
Metabolite peak levels (QI6693)	2
Metabolite peak levels (QI6703)	2
Metabolite peak levels (QI6721)	2
Metabolite peak levels (QI9489)	2
MHC class I polypeptide-related sequence A levels	2
Migraine - clinic-based	2
Mitral valve prolapse	2
Motion sickness	2
MSP plasma levels	2
Mucinous ovarian carcinoma	2
Myopia	2
Myristoyl-linoleoyl-glycerol (14:0/18:2) [1] levels	2
NADPH--cytochrome P450 reductase levels	2
Neural cell adhesion molecule 1, 120 kDa isoform levels	2
Neuroblastoma	2
Neurofibrillary tangles (SNP x SNP interaction)	2
Neurological blood protein biomarker levels	2
Never eat sugar vs no sugar restrictions (UKB data field 6144)	2
Nisinate (24:6n3) levels	2
Nonalcoholic steatohepatitis	2
Nonatopic asthma or fasting glucose levels	2
Nonsyndromic orofacial cleft x sex interaction	2
Nonsyndromic orofacial cleft x sex interaction (2df)	2
Number of children ever born	2
Oleoyl-arachidonoyl-glycerol (18:1/20:4) [2] levels	2
Oleoyl-linoleoyl-glycerol (18:1/18:2) [1] levels	2
Oleoyl-linoleoyl-glycerol (18:1/18:2) [2] levels	2
Oleoyl-oleoyl-glycerol (18:1/18:1)  [1] levels	2
Optic disc size	2
Orofacial clefts	2
Other polyunsaturated fatty acid levels than 18:2	2
OTU97_51 (Barnesiella) abundance	2
OTU99_106 (Barnesiella) abundance	2
Oxidized cholesteryl ester (18:2) [+O] levels	2
P wave duration	2
Palmitic acid (16:0) levels	2
Palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1] levels	2
Pediatric asthma	2
Pelvic organ prolapse (moderate/severe)	2
Peptic ulcer disease	2
Percent glycated albumin	2
Percent mammographic density	2
Peripheral artery disease in non diabetes	2
Phosphatidate(43:6)_[M-H]1- levels	2
Phosphatidylcholine (14:0_22:6) levels	2
Phosphatidylcholine (15-MHDA_18:1) levels	2
Phosphatidylcholine (15:0_22:6) levels	2
Phosphatidylcholine (16:0_22:6) levels	2
Phosphatidylcholine (16:0/22:5n3, 18:1/20:4) levels	2
Phosphatidylcholine (17:0_18:2) levels	2
Phosphatidylcholine (17:0_22:6) levels	2
Phosphatidylcholine (18:0_18:2) levels	2
Phosphatidylcholine (18:0_22:6) levels	2
Phosphatidylcholine (18:0/20:2, 20:0/18:2) levels	2
Phosphatidylcholine (18:0/20:5, 16:0/22:5n6) levels	2
Phosphatidylcholine (18:1_18:2) levels	2
Phosphatidylcholine (18:2_20:5) levels	2
Phosphatidylcholine (32:2) levels	2
Phosphatidylcholine (33:0) (b) levels	2
Phosphatidylcholine (33:1) levels	2
Phosphatidylcholine (33:2) levels	2
Phosphatidylcholine (36:6) (a) levels	2
Phosphatidylcholine (38:7) (c) levels	2
Phosphatidylcholine (39:5) (a) levels	2
Phosphatidylcholine (O-18:1/20:4, O-16:0/22:5n3) levels	2
Phosphatidylcholine 34:4 levels	2
Phosphatidylcholine 36:3 levels	2
Phosphatidylcholine 38:2 levels	2
Phosphatidylcholine acyl-alkyl C30:1 levels	2
Phosphatidylcholine acyl-alkyl C30:2 levels	2
Phosphatidylcholine acyl-alkyl C34:2 levels	2
Phosphatidylcholine acyl-alkyl C36:2 levels	2
Phosphatidylcholine acyl-alkyl C36:3 levels	2
Phosphatidylcholine acyl-alkyl C36:4 levels	2
Phosphatidylcholine acyl-alkyl C38:0 levels	2
Phosphatidylcholine acyl-alkyl C38:1 levels	2
Phosphatidylcholine acyl-alkyl C38:2 levels	2
Phosphatidylcholine acyl-alkyl C38:6 levels	2
Phosphatidylcholine acyl-alkyl C40:1 levels	2
Phosphatidylcholine acyl-alkyl C40:3 levels	2
Phosphatidylcholine acyl-alkyl C40:5 levels	2
Phosphatidylcholine acyl-alkyl C40:6 levels	2
Phosphatidylcholine acyl-alkyl C42:2 levels	2
Phosphatidylcholine acyl-alkyl C42:3 levels	2
Phosphatidylcholine acyl-alkyl C42:4 levels	2
Phosphatidylcholine acyl-alkyl C44:5 levels	2
Phosphatidylcholine acyl-alkyl C44:6 levels	2
Phosphatidylcholine diacyl C24:0 levels	2
Phosphatidylcholine diacyl C26:0 levels	2
Phosphatidylcholine diacyl C30:0 levels	2
Phosphatidylcholine diacyl C32:0 levels	2
Phosphatidylcholine diacyl C32:1 levels	2
Phosphatidylcholine diacyl C34:1 levels	2
Phosphatidylcholine diacyl C34:2 levels	2
Phosphatidylcholine diacyl C36:2 levels	2
Phosphatidylcholine diacyl C36:3 levels	2
Phosphatidylcholine diacyl C36:5 levels	2
Phosphatidylcholine diacyl C38:0 levels	2
Phosphatidylcholine diacyl C38:6 levels	2
Phosphatidylcholine diacyl C40:2 levels	2
Phosphatidylcholine diacyl C40:4 levels	2
Phosphatidylcholine diacyl C42:0 levels	2
Phosphatidylcholine diacyl C42:1 levels	2
Phosphatidylcholine diacyl C42:4 levels	2
Phosphatidylcholine diacyl C42:6 levels	2
Phosphatidylcholine plasmalogen 36:5 levels	2
Phosphatidylcholines (36:3)B levels	2
Phosphatidylcholines (36:5)B levels	2
Phosphatidylcholines (37:4) levels	2
Phosphatidylcholines (38:4)A levels	2
Phosphatidylcholines (38:4)B levels	2
Phosphatidylcholines (38:4)C levels	2
Phosphatidylcholines (38:6)A levels	2
Phosphatidylcholines (39:4) levels	2
Phosphatidylcholines (40:6)A levels	2
Phosphatidylethanolamine (15-MHDA_18:1) levels	2
Phosphatidylethanolamine (16:0_18:1) levels	2
Phosphatidylethanolamine (16:0_18:3) (b) levels	2
Phosphatidylethanolamine (17:0_18:1) levels	2
Phosphatidylethanolamine (18:0_18:1) levels	2
Phosphatidylethanolamine (18:0_20:4) levels	2
Phosphatidylethanolamine (18:1_22:6) (a) levels	2
Phosphatidylethanolamine levels	2
Phosphatidylethanolamine_34:1_[M-H]1- levels	2
Phosphatidylglycerol-O_38:0_[M-H]1- levels	2
Phosphatidylinositol (15-MHDA_18:1) levels/Phosphatidylinositol (17:0_18:1) levels	2
Phosphatidylinositol (15-MHDA_18:2) levels/Phosphatidylinositol (17:0_18:2) levels	2
Phosphatidylinositol (16:0_16:1) levels	2
Phosphatidylinositol (18:0_18:1) levels	2
Phosphatidylinositol (18:1_18:2) levels	2
Phosphatidylinositol (34:1) levels	2
Phosphatidylinositol (36:2) levels	2
Phosphatidylserine-O_42:6_[M+H]1+ levels	2
Pizza liking	2
Plasma ANGPTL8 levels	2
Plasma clozapine levels in treatment-resistant schizophrenia	2
Plasma letrozole concentrations in letrozole treated hormone-receptor-positive breast cancer	2
Platelet-activating factor levels	2
Post-traumatic stress disorder	2
Postprandial cholesterol esters in very large HDL	2
Postprandial estimated degree of unsaturation	2
Postprandial free cholesterol in very large HDL	2
Postprandial glycoprotein acetyls (mainly a1-acid glycoprotein)	2
Postprandial isoleucine	2
Postprandial leucine	2
Postprandial mean diameter of HDL particles	2
Postprandial omega-3 fatty acids	2
Postprandial phospholipid levels in very large HDL	2
Postprandial total cholesterol in HDL	2
Postprandial total cholesterol in HDL2	2
Postprandial total cholesterol in HDL3	2
Postprandial total cholesterol in very large HDL	2
Postprandial total lipids in very large HDL	2
Postprandial triglycerides levels in medium HDL	2
Postprandial very large HDL particle concentration	2
Principal component-derived dietary pattern 43	2
Proheparin-binding EGF-like growth factor levels	2
Proteasome activator complex subunit 1 levels	2
Protein FAM3D levels	2
Protein levels in obesity	2
Proteinase-activated receptor 1 levels	2
Psoriasis vulgaris	2
Psychosis and Alzheimer's disease	2
Psychosis in Alzheimer's disease	2
Pubertal anthropometrics	2
Pulse pressure x alcohol consumption (light vs heavy) interaction (2df test)	2
QRS interval (sulfonylurea treatment interaction)	2
Quinone oxidoreductase-like protein 1 levels	2
R-6-hydroxywarfarin to R-warfarin ratio	2
Rate of ventricular enlargement	2
Ratio of bis-allylic bonds to double bonds in lipids	2
Red blood cell traits (multivariate analysis)	2
Renal cell carcinoma	2
Response to inhaled glucocorticoid treatment in asthma (change in FEV1)	2
Resting metabolic rate	2
Retinal nerve fibre layer (RNFL) thickness	2
Retinal vascular fractal density	2
Right ventricular end systolic volume	2
Right ventricular stroke volume (MTAG)	2
Rubella	2
same-sex sexual behaviour	2
Schizophrenia or bipolar disorder	2
Secreted and transmembrane protein 1 levels	2
Self-reported allergy	2
Sensory disturbances after bilateral sagittal split ramus osteotomy	2
Serum alpha1-antitrypsin levels	2
Serum chromium levels	2
Serum docosahexaenoic fatty acid concentration in metabolic syndrome	2
Serum glutamic-oxaloacetic transaminase levels	2
Serum levels of protein CCL15	2
Serum levels of protein CXCL5	2
Serum levels of protein FASLG	2
Serum levels of protein FGF19	2
Serum levels of protein HBEGF	2
Serum levels of protein LHCGR	2
Serum levels of protein NRP1	2
Serum levels of protein PAM	2
Serum levels of protein PRDM1	2
Serum levels of protein REG1A	2
Serum levels of protein SMPD1	2
Serum levels of protein TMPRSS11D	2
Serum levels of protein TXNDC12	2
Serum levels of protein VEGFA	2
Serum omega-3 polyunsaturated fatty acid concentration in metabolic syndrome	2
Serum omega-6 to omega-3 polyunsaturated fatty acid ratio in metabolic syndrome	2
Serum uric acid levels in response to allopurinol in gout	2
Severity of nausea and vomiting of pregnancy	2
Sleep duration (oversleepers vs undersleepers)	2
Small vessel stroke (CCSp classification)	2
Smoking intensity (cotinine levels/cigarettes per day)	2
Sodium levels	2
Spermidine levels	2
Spherical equivalent (joint analysis main effects and education interaction)	2
Sphingomyelin (d18:0/16:0) levels	2
Sphingomyelin (d18:1/18:1, d18:2/18:0) levels	2
Sphingomyelin (d18:1/20:1, d18:2/20:0) levels	2
Sphingomyelin (d18:2/16:0) levels	2
Sphingomyelin (d18:2/18:0) levels	2
Sphingomyelin (d18:2/20:0) levels	2
Sphingomyelin (d18:2/24:1, d18:1/24:2) levels	2
Sphingomyelin_35:1_[M+H]1+ levels	2
Sphingomyelin_42:1_[M+H]1+ levels	2
Sphingomyelin_42:2_[M+OAc]1- levels	2
Sphingomyelin(33:1)_[M-CH3]1- levels	2
Sphingomyeline C16:1 levels	2
Sphingomyeline C18:1 levels	2
Sphingomyeline C20:2 levels	2
Sphingomyeline C24:0 levels	2
Sphingomyeline C24:1 levels	2
Spine bone size	2
Sporadic neuroblastoma	2
Stearic acid (18:0) levels	2
Stearidonate (18:4n3) levels	2
Stearoyl-arachidonoyl-glycerol (18:0/20:4) [1] levels	2
Stearoyl-arachidonoyl-glycerol (18:0/20:4) [1] levels in elite athletes	2
Stem cell factor levels	2
Subarachnoid hemorrhage	2
Suicide attempt	2
Systemic lupus erythematosus and Systemic sclerosis	2
Systemic sclerosis	2
T cell lymphocyte profile difference	2
Theobromine levels	2
Theophylline levels	2
Threonine levels	2
Thyroid hormone levels	2
Thyroid peroxidase antibody positivity	2
Total body bone mineral density	2
Total Lysophosphatidylcholine levels	2
Total Phosphatidylethanolamine levels	2
Total Phosphatidylinositol levels	2
Total Trihexosylcermide levels	2
Triacylglycerol (48:2) [NL-16:0] levels	2
Triacylglycerol (54:3) [NL-18:1] levels	2
Triacylglycerol 54:9 levels	2
Triacylglycerol 56:10 levels	2
Triacylglycerol 56:9 levels	2
Triacylglycerol_48:4_[M+NH4]1+ levels	2
Triacylglycerol_50:2_[M+NH4]1+ levels	2
Triacylglycerol_50:5_[M+NH4]1+ levels	2
Triglycerides (58:9) levels	2
Triglycerides-Blood Pressure (TG-BP)	2
Trihexosylcermide (d18:1/16:0) levels	2
Trihexosylcermide (d18:1/22:0) levels	2
Trihexosylcermide (d18:1/24:1) levels	2
Two-hour glucose	2
Two-hour glucose challenge	2
Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))	2
Urinary albumin-to-creatinine ratio in diabetes	2
Urinary sodium to creatinine ratio	2
Urinary sodium to potassium ratio	2
Vascular endothelial growth factor A levels	2
Venous thromboembolism or von Willebrand factor levels (pleiotropy)	2
Verbal memory performance (immediate recall change)	2
Vitamin B12 levels	2
Vitamin C levels	2
Waist circumference adjusted for BMI in smokers	2
Wellbeing index	2
X-12216 levels	2
X-19438 levels	2
X-21286 levels	2
X-24295 levels	2
Yeast infection	2
1-methylnicotinamide levels	1
1-methylnicotinamide levels in elite athletes	1
1,5-anhydroglucitol (1,5-ag) levels	1
2-methylmalonylcarnitine (C4-DC) levels	1
3-bromo-5-chloro-2,6-dihydroxybenzoic acid levels	1
3-hydroxy-1-methylpropylmercapturic acid levels in smokers	1
3-phenylpropionate (hydrocinnamate) levels in elite athletes	1
3beta,7alpha-dihydroxy-5-cholestenoate levels	1
4-allylphenol sulfate levels in elite athletes	1
4-hydroxychlorothalonil levels	1
4-hydroxyphenylacetylglutamine levels in elite athletes	1
5alpha-androstan-3alpha,17beta-diol monosulfate (1) levels in elite athletes	1
Abdominal aortic calcification levels	1
Ability to confide in someone	1
ABO blood group (AB vs non-AB)	1
ABO blood group (B vs O)	1
ABO blood group (O vs non-O)	1
Accelerometer measured moderate to vigorous physical activity	1
Acceptance of an invitation to wear a physical activity monitor	1
Actinic keratosis	1
Actinobacteria abundance in stool	1
Actinobacteriota abundance in stool	1
Actinomycetales abundance in stool	1
Acute graft versus host disease in bone marrow transplantation (donor effect)	1
Acylcarnitine (16:0) levels	1
Acylcarnitine (16:1) levels	1
Acylcarnitine (17:0) (b) levels	1
Acylcarnitine (18:1) levels	1
Acylcarnitine (18:2) levels	1
Addison's disease	1
ADHD vs Tourette's syndrome and other tic disorders (ordinary least squares (OLS))	1
Adiponectin levels	1
Adult asthma	1
Affective disorder and suicide attempts	1
Age at voice drop	1
Age-related diseases and mortality	1
Age-related hearing impairment	1
Airway imaging phenotypes	1
Alcohol and nicotine co-dependence	1
Alcohol consumption over the past year	1
Alcohol dependence (age at onset)	1
Alcohol dependence (desire to cut drinking)	1
Alcohol dependence (tolerance)	1
Alcohol dependence symptom count	1
Alkaline phosphatase (UKB data field 30610)	1
Alkenylphosphatidylcholine (P-16:0/18:2) levels	1
Alkenylphosphatidylcholine (P-18:0/18:2) levels	1
Alkenylphosphatidylethanolamine (P-16:0/20:3) (b) levels	1
Alkenylphosphatidylethanolamine (P-17:0/22:6) (a) levels	1
Alkenylphosphatidylethanolamine (P-18:0/20:3) (a) levels	1
Alkenylphosphatidylethanolamine (P-18:0/20:3) (b) levels	1
Alkenylphosphatidylethanolamine (P-18:0/20:5) levels	1
Alkenylphosphatidylethanolamine (P-18:0/22:5) (n3) levels	1
Alkenylphosphatidylethanolamine (P-18:0/22:6) levels	1
Alkyldiacylglycerol (O-50:1) [NL-16:0] levels	1
Alkyldiacylglycerol (O-52:0) [NL-16:0] levels	1
Alkyldiacylglycerol (O-52:2) [NL-16:0] levels	1
Alkylphosphatidylcholine (O-18:0/22:6) levels	1
Allergic disease (asthma, hay fever and/or eczema) (age of onset)	1
Allergic disease (asthma, hay fever and/or eczema) (multivariate analysis)	1
Allergy	1
Alopecia areata	1
Alzheimer's disease or LDL levels (pleiotropy)	1
Amyotrophic lateral sclerosis (sporadic)	1
Androstenediol (3beta,17beta) monosulfate (1) levels in elite athletes	1
Androsterone sulfate levels	1
Androsterone sulfate levels in elite athletes	1
Ankle-brachial index	1
Anorexia nervosa or obsessive-compulsive disorder	1
Anorexia nervosa vs autism spectrum disorder (ordinary least squares (OLS))	1
Anti-JC polyomavirus IgG seropositivity	1
Anti-measles virus IgG levels	1
Anti-polyomavirus 2 IgG seropositivity	1
Antipsychotic drug-induced weight gain	1
Anxiety and stress-related disorders	1
Aortic aneurysm	1
Aortic root size	1
aparc-a2009s rh area G-occipital-sup	1
aparc-a2009s rh volume G-occipital-sup	1
aparc-a2009s rh volume S-collat-transv-ant	1
aparc-a2009s rh volume S-oc-temp-med+Lingual	1
aparc-DKTatlas rh area insula	1
Apples liking	1
Arterial stiffness index	1
Arthritis (juvenile idiopathic)	1
Ascending aorta diameter	1
aseg lh volume Hippocampus	1
aseg rh volume Hippocampus	1
Asparaginase hypersensitivity in acute lymphoblastic leukemia	1
Asthma (age of onset)	1
Asthma (moderate or severe)	1
Asthma and attention deficit hyperactivity disorder	1
Asthma or allergic disease (pleiotropy)	1
Asthma-COPD overlap syndrome	1
Asymptomatic hyperuricaemia (age <50)	1
Asymptomatic hyperuricaemia (age >=50)	1
Attention deficit hyperactivity disorder (childhood)	1
Attention deficit hyperactivity disorder (late-diagnosed)	1
Attention deficit hyperactivity disorder or caudate nucleus volume (pleiotropy)	1
Autoimmune hepatitis type-1	1
Bacilli A abundance in stool	1
Barrett's esophagus or esophageal adenocarcinoma x sex interaction (2df test)	1
Basal Cell Adhesion Molecule levels	1
Beetroot liking	1
Beta 1 electroencephalogram power	1
Beta-2 microglubulin plasma levels	1
Beta-endorphin levels	1
Bifidobacteriaceae abundance in stool	1
Bifidobacterium abundance in stool	1
Bifidobacterium adolescentis abundance in stool	1
Bifidobacterium angulatum abundance in stool	1
Bifidobacterium bifidum abundance in stool	1
Bifidobacterium breve abundance in stool	1
Bifidobacterium catenulatum abundance in stool	1
Bifidobacterium infantis abundance in stool	1
Bifidobacterium kashiwanohense abundance in stool	1
Bifidobacterium longum abundance in stool	1
Bifidobacterium pseudocatenulatum abundance in stool	1
Bifidobacterium ruminantium abundance in stool	1
Bilateral cleft lip and palate	1
Biological age (BioAge)	1
Bipolar disorder (early vs late onset)	1
Bipolar disorder lithium response (categorical) or schizophrenia	1
Bipolar disorder lithium response (continuous) or schizophrenia	1
Bipolar disorder vs anorexia nervosa (ordinary least squares (OLS))	1
Birth year infant mortality rates	1
Bitter taste perception (6-n-propylthiouracil) in obesity with metabolic syndrome	1
Bitter taste perception (phenylthiocarbamide) in obesity with metabolic syndrome	1
Bitter taste response	1
